Date,High,DEMA,EMA,ADX,CCI,RSI,SMA,TMSC,NVIDIA,Microsoft,META
2025-07-17,184.06,183.6603,180.5593,6.7028,146.1457,52.6404,168.5239,248.28,174.16,513.37,705.9
2025-07-16,184.327,183.0602,180.0207,6.7455,150.2088,52.7011,168.5323,238.31,171.75,506.72,713.97
2025-07-15,184.22,182.2028,179.3582,6.7817,145.5709,52.6794,168.5376,237.71,172.4,508.3,724.4716
2025-07-14,183.67,181.1445,178.6102,6.8187,136.512,52.5689,168.5456,229.85,165.49,503.97,728.0
2025-07-11,181.43,179.9776,177.8318,6.8583,116.0054,52.118,168.5641,232.27,167.89,505.03,725.16
2025-07-10,178.429,179.2005,177.2782,6.9077,92.2888,51.5066,168.6093,233.05,164.5,504.44,735.7999
2025-07-09,179.44,179.1422,177.1012,6.9701,86.042,51.7269,168.6833,233.27,164.42,506.78,737.53
2025-07-08,177.95,178.7366,176.7414,7.0331,74.0714,51.4237,168.7356,230.33,160.22,498.2,722.9099
2025-07-07,179.297,178.6716,176.5554,7.1031,91.1029,51.7144,168.821,232.55,159.31,498.75,727.0
2025-07-03,179.67,178.1536,176.1337,7.1616,101.8383,51.7946,168.9056,237.58,160.98,500.13,729.03
2025-07-02,178.86,177.3763,175.5896,7.2148,90.0748,51.6333,169.0161,233.82,157.6,493.5,720.3
2025-07-01,176.09,176.6449,175.0865,7.2719,68.191,51.0788,169.1439,228.6,157.2,498.05,737.7499
2025-06-30,181.23,176.5759,174.9321,7.341,83.3232,52.1776,169.3059,228.15,158.66,500.76,747.9
2025-06-27,178.68,174.891,173.9632,7.4064,70.3336,51.667,169.5591,228.88,158.71,499.3,735.43
2025-06-26,173.69,173.5824,173.2375,7.4794,36.7919,50.646,169.8049,225.22,156.715,498.04,728.22
2025-06-25,172.36,173.4962,173.1679,7.5322,17.2973,50.3694,170.1179,223.5,154.45,494.5556,716.58
2025-06-24,168.22,173.7953,173.2922,7.5798,-7.4795,49.4971,170.4035,220.365,147.96,491.849,713.19
2025-06-23,167.34,175.4334,174.0725,7.6099,-24.1323,49.3096,170.6844,210.59,144.78,487.75,699.05
2025-06-20,174.34,177.7143,175.1083,7.6364,0.9649,50.7946,170.9612,215.4978,146.2,483.46,701.8197
2025-06-18,176.56,178.3516,175.2265,7.6771,35.318,51.2794,171.1818,215.1651,145.65,481.0,701.59
2025-06-17,177.3648,178.4221,175.0214,7.7503,42.9001,51.4557,171.4204,215.94,145.22,478.7399,705.97
2025-06-16,176.94,178.2242,174.6608,7.827,41.5552,51.3683,171.645,217.6,146.175,480.6943,707.15
2025-06-13,177.13,178.0711,174.3102,7.9058,30.8875,51.4093,171.8756,213.26,143.58,479.18,694.57
2025-06-12,176.72,177.7821,173.8764,7.9854,34.5047,51.3264,172.1223,215.88,145.0,480.415,695.38
2025-06-11,180.37,177.508,173.4389,8.0564,46.6659,52.1102,172.3227,217.43,144.99,475.47,708.8707
2025-06-10,181.105,176.0013,172.3725,8.1196,45.3556,52.2693,172.4691,213.23,144.29,472.8,703.23
2025-06-09,176.47,173.8727,171.0291,8.1835,29.4898,51.3417,172.617,209.27,145.0,473.43,705.19
2025-06-06,174.5,172.6361,170.192,8.2652,12.7141,50.8978,172.7675,206.29,143.27,473.335,702.806
2025-06-05,170.93,171.7505,169.5612,8.3386,-10.4252,50.1608,172.9318,205.76,144.0,469.65,694.38
2025-06-04,168.215,171.7288,169.382,8.3976,-18.6923,49.5912,173.185,204.03,142.39,465.69,689.0
2025-06-03,168.475,172.5106,169.5924,8.4455,-24.3426,49.645,173.4631,198.1685,142.0,464.14,675.58
2025-06-02,169.87,173.3651,169.7951,8.4938,-14.6437,49.9327,173.7855,195.16,138.12,462.11,673.26
2025-05-30,172.205,173.9535,169.8147,8.5511,-7.2704,50.4169,174.0663,195.91,139.62,461.68,649.4099
2025-05-29,174.4193,173.9179,169.4786,8.6092,0.8298,50.88,174.2738,199.8,143.49,461.72,653.32
2025-05-28,175.265,173.1446,168.7504,8.6807,4.214,51.0574,174.4471,198.065,137.25,462.52,650.88
2025-05-27,173.17,171.8803,167.7803,8.7581,-2.1225,50.6354,174.6115,198.31,135.66,460.95,643.08
2025-05-23,169.96,170.9162,166.9828,8.8276,-18.188,49.9812,174.8028,192.8,132.68,453.69,632.445
2025-05-22,176.77,170.6676,166.5559,8.8843,-0.5202,51.4122,175.0537,196.83,134.25,460.25,643.25
2025-05-21,173.14,168.2221,165.0169,8.9528,-21.3189,50.6668,175.2509,195.27,137.4,457.78,646.61
2025-05-20,168.5,166.2793,163.799,9.0067,-36.9144,49.6902,175.478,193.73,134.58,458.34,639.3536
2025-05-19,166.64,165.2761,163.1066,9.041,-34.7838,49.2918,175.7413,193.5,135.87,459.585,643.0
2025-05-16,169.35,164.5838,162.5936,9.0675,-30.0679,49.8613,176.0012,195.08,136.35,454.36,640.44
2025-05-15,166.205,162.8732,161.5851,9.0996,-43.34,49.1867,176.2354,194.49,136.3,456.19,657.31
2025-05-14,167.0,161.7107,160.9049,9.1182,-45.0338,49.3529,176.5406,196.22,135.435,453.9,662.67
2025-05-13,160.57,160.0205,159.9977,9.137,-68.4801,47.9448,176.882,194.28,131.2189,450.6733,660.92
2025-05-12,159.1,159.9068,159.9391,9.1271,-73.2238,47.6152,177.2634,189.17,123.0,449.37,640.3896
2025-05-09,155.05,160.2183,160.0974,9.1103,-94.2794,46.6946,177.597,180.46,118.23,440.74,606.97
2025-05-08,155.93,161.8468,160.9023,9.0745,-91.7719,46.8718,177.9955,177.45,118.68,443.67,611.2959
2025-05-07,165.0,163.5792,161.6959,9.0409,-92.1006,48.7598,178.3894,175.98,117.68,438.12,603.075
2025-05-06,164.8,162.9127,161.2178,9.0069,-58.0919,48.7147,178.6005,174.74,114.74,437.73,596.03
2025-05-05,165.39,162.1316,160.6969,9.0232,-54.5463,48.8403,178.7129,180.08,114.665,439.5,603.21
2025-05-02,164.97,160.9689,160.0051,9.0457,-57.417,48.7472,178.8056,180.65,115.4,439.44,604.34
2025-05-01,161.95,159.65,159.2715,9.0666,-71.0424,48.0747,178.9122,174.78,114.94,436.99,592.95
2025-04-30,159.27,158.9435,158.8891,9.0738,-85.0842,47.4691,179.0376,166.92,108.92,396.66,549.1
